date,dead,missing,latitude,longitude
2015-01-05T00:00:00Z,6,0,36.4,-0.9
2014-09-30T00:00:00Z,0,1,33,30
2014-09-29T00:00:00Z,70,0,32.92,13.335
2014-09-22T00:00:00Z,10,35,33.3,13.6
2014-09-15T00:00:00Z,3,3,33,13.4
2014-09-14T00:00:00Z,0,225,33.4,13.3
2014-09-13T00:00:00Z,15,0,32.3,29.7
2014-09-12T00:00:00Z,7,0,34.1,15.7
2014-09-12T00:00:00Z,2,0,35,16
2014-09-10T00:00:00Z,160,0,33.1,13.3
2014-08-31T00:00:00Z,15,0,33,14
2014-08-31T00:00:00Z,0,100,33,14
2014-08-30T00:00:00Z,36,0,34.1,12.3
2014-08-29T00:00:00Z,41,0,33,12.1
2014-08-27T00:00:00Z,1,0,52.314079,4.975107
2014-08-24T00:00:00Z,24,0,33,13.1
2014-08-24T00:00:00Z,18,0,35.4,12.6
2014-08-23T00:00:00Z,18,0,33.7,14.05
2014-08-22T00:00:00Z,0,250,32.9,13.5
2014-08-22T00:00:00Z,1,0,36,27
2014-08-21T00:00:00Z,1,0,48.9,2.4
2014-08-14T05:00:00Z,1,0,51.46046,0.344943
2014-08-02T05:00:00Z,2,0,33,30
2014-07-30T00:00:00Z,150,0,32.857,14.306
2014-07-28T05:00:00Z,20,108,33.04,12.23
2014-07-22T05:00:00Z,1,0,51,1
2014-07-19T05:00:00Z,29,100,36.4,13.1
2014-07-19T00:00:00Z,52,0,34,14
2014-07-18T05:00:00Z,19,0,35.9,12.37
2014-07-17T05:00:00Z,10,0,35.3,14.3
2014-07-16T05:00:00Z,3,0,33.17,13.88
2014-07-16T05:00:00Z,0,41,33.47,13.15
2014-07-14T00:00:00Z,3,0,33,13
2014-07-10T05:00:00Z,2,0,37.754786,26.97777
2014-07-05T05:00:00Z,12,200,33.9,13.44
2014-07-02T00:00:00Z,45,0,36.72986,14.84911
2014-07-01T05:00:00Z,0,75,35,15.7
2014-06-27T00:00:00Z,2,9,35.766667,-5.8
2014-06-23T00:00:00Z,6,0,37,28
2014-06-29T05:00:00Z,13,0,32.8,13.1
2014-06-28T05:00:00Z,45,0,36.1,15.3
2014-06-18T00:00:00Z,1,0,38.494167,43.38
2014-06-15T05:00:00Z,1,0,37.2,16
2014-06-14T00:00:00Z,30,0,36,15
2014-06-13T05:00:00Z,10,85,35.5,12.6
2014-06-10T00:00:00Z,0,4,35,15
2014-06-07T05:00:00Z,3,2,35.11,14.41
2014-06-02T05:00:00Z,1,0,39.26451,26.277707
2014-05-29T00:00:00Z,1,0,39.50615,20.265534
2014-05-29T00:00:00Z,1,0,50.81451,1.704929
2014-05-29T00:00:00Z,1,0,50.95129,1.858686
2014-05-29T00:00:00Z,1,0,50.95129,1.858686
2014-05-29T00:00:00Z,1,0,50.95129,1.858686
2014-05-29T00:00:00Z,1,0,50.95129,1.858686
2014-05-27T05:00:00Z,2,1,38,0.5
2014-05-12T00:00:00Z,17,200,34.574,12.605
2014-05-11T00:00:00Z,40,0,33.04,13.64
2014-05-06T05:00:00Z,13,33,21.8,8.56
2014-05-06T05:00:00Z,0,0,36.926927,14.725513
2014-05-06T00:00:00Z,36,54,32.982,13.563
2014-05-04T05:00:00Z,22,0,37.743215,26.820351
2014-05-03T05:00:00Z,36,42,33.89,12.61
2014-05-01T05:00:00Z,4,0,33.89,12.61
2014-04-29T05:00:00Z,10,0,20.23,25
2014-04-29T05:00:00Z,0,40,33.89,12.61
2014-04-08T05:00:00Z,1,0,36,12
2014-03-30T05:00:00Z,1,0,52.169628,-0.503644
2014-03-18T00:00:00Z,4,0,36,27
2014-03-18T00:00:00Z,6,0,39,26
2014-03-18T00:00:00Z,7,2,39.26451,26.277707
2014-03-01T00:00:00Z,1,0,41.1,26.3
2014-02-27T00:00:00Z,1,0,48.856614,2.352
2014-02-06T06:00:00Z,13,0,35.888384,-5.324636
2014-02-04T06:00:00Z,1,0,50.95129,1.858686
2014-12-31T00:00:00Z,4,0,39.2,19.7
2014-12-23T00:00:00Z,4,0,35.4,12.6
2014-12-19T00:00:00Z,9,0,35.97,-5.84
2014-12-12T00:00:00Z,1,0,51.7,-0.15
2014-12-06T00:00:00Z,0,20,36.3,-2.5
2014-12-05T00:00:00Z,17,0,35.5,12.6
2014-12-03T00:00:00Z,0,10,38,0.5
2014-11-28T00:00:00Z,0,18,,
2014-11-20T00:00:00Z,2,0,51.03,2.38
2014-11-06T00:00:00Z,1,0,38.1262665,23.7379745
2014-11-02T00:00:00Z,10,20,41.24,29.12
2014-11-01T00:00:00Z,2,0,36.4,-2.3
2014-10-21T00:00:00Z,3,0,50.9,1.86
2014-10-10T00:00:00Z,18,20,9.224,-13.538
2014-10-03T00:00:00Z,0,40,33.51,12.8
2014-10-02T00:00:00Z,10,80,33.6,13.3
2014-10-01T00:00:00Z,2,6,35.94,-5.38
2014-01-19T00:00:00Z,4,5,37.282956,27.088338
2013-09-29T05:00:00Z,0,0,36.793212,14.706973
2013-09-29T00:00:00Z,0,0,37.508039,15.082851
2013-09-21T00:00:00Z,1,0,45.649502,0.12473
2013-09-18T00:00:00Z,0,0,26.820553,30.802498
2013-09-16T00:00:00Z,0,0,28.569022,-16.324539
2013-09-16T00:00:00Z,0,0,35.888384,-5.324636
2013-09-12T00:00:00Z,0,0,30.755556,20.225278
2013-09-12T00:00:00Z,0,0,37.743215,26.820351
2013-09-09T00:00:00Z,0,0,37.599994,14.015356
2013-09-07T00:00:00Z,1,0,52.311057,4.952201
2013-08-10T00:00:00Z,0,0,37.508039,15.082851
2013-08-09T00:00:00Z,0,0,39.080793,17.12711
2013-08-04T00:00:00Z,0,0,35.508622,12.59292
2013-07-31T00:00:00Z,0,0,36.018776,-5.600819
2013-07-31T00:00:00Z,0,0,39.671689,26.196498
2013-07-29T00:00:00Z,0,0,35.937496,14.375416
2013-07-29T00:00:00Z,0,0,37.983716,23.72931
2013-07-27T00:00:00Z,0,0,35.508622,12.59292
2013-07-26T00:00:00Z,0,0,36.799851,27.102943
2013-07-26T00:00:00Z,1,0,53.366786,-2.279768
2013-07-25T00:00:00Z,0,0,36.799851,27.102943
2013-07-24T00:00:00Z,0,0,35.292278,-2.938097
2013-07-24T00:00:00Z,0,0,38.515435,26.220492
2013-06-19T00:00:00Z,1,0,50.9,4.38
2013-06-14T00:00:00Z,0,0,39.308771,16.346379
2013-05-31T05:00:00Z,12,0,20,25
2013-05-30T00:00:00Z,0,0,26.3351,17.228331
